split,condition_id,query_text,status,available_positive,available_negative,unknown,positive_target,negative_target,positive_pairs,negative_pairs,hard_negative_pairs,random_negative_pairs
test,CA01,画面左に赤い車がいる画像,targets_met,48,402,550,10,10,10,10,5,5
test,CA02,画面右に白い車がいる画像,targets_met,131,451,418,10,10,10,10,5,5
test,CA03,画面左に白いバスがいる画像,targets_met,24,836,140,10,10,10,10,5,5
test,CA04,画面右に赤いバスがいる画像,no_positive,0,866,134,10,10,0,0,0,0
test,CA05,画面中央に青いトラックがいる画像,below_target,7,779,214,10,10,7,10,5,5
test,CA06,画面右に白いトラックがいる画像,targets_met,37,790,173,10,10,10,10,5,5
test,CA07,画面左に黒いバンがいる画像,below_target,7,839,154,10,10,7,10,5,5
test,CA08,画面中央に白いバンがいる画像,targets_met,81,758,161,10,10,10,10,5,5
test,CA09,画面右に赤い自転車がいる画像,no_positive,0,824,176,10,10,0,0,0,0
test,CA10,画面左に青い自転車がいる画像,below_target,4,835,161,10,10,4,10,5,5
test,CA11,画面右に黒いバイクがいる画像,below_target,3,855,142,10,10,3,10,5,5
test,CA12,画面左に白いバイクがいる画像,no_positive,0,860,140,10,10,0,0,0,0
test,CA13,自車と同じ車線に、こちらに正面を向けた自転車がいる画像,no_positive,0,851,149,10,10,0,0,0,0
test,CA14,自車と同じ車線に後ろ姿が見える車がいる画像,targets_met,494,245,261,10,10,10,10,5,5
test,CA15,画面右の歩道上に歩行者がいる画像,targets_met,122,720,158,10,10,10,10,5,5
test,CA16,画面左の横断歩道上に歩行者がいる画像,targets_met,27,786,187,10,10,10,10,5,5
test,CB01,赤い車と白いバスがいる画像,targets_met,10,778,212,10,10,10,10,5,5
test,CB02,白い車と赤いバスがいる画像,below_target,2,820,178,10,10,2,10,5,5
test,CB03,黒い車と白いトラックがいる画像,targets_met,65,647,288,10,10,10,10,5,5
test,CB04,白い車と黒いトラックがいる画像,targets_met,13,724,263,10,10,10,10,5,5
test,CB05,青いバンと赤い車がいる画像,below_target,1,814,185,10,10,1,10,5,5
test,CB06,赤いバンと青い車がいる画像,no_positive,0,809,191,10,10,0,0,0,0
test,CB07,白いバスと青いトラックがいる画像,below_target,3,848,149,10,10,3,10,5,5
test,CB08,青いバスと白いトラックがいる画像,no_positive,0,859,141,10,10,0,0,0,0
test,CB09,赤い自転車と黒いバイクがいる画像,no_positive,0,856,144,10,10,0,0,0,0
test,CB10,黒い自転車と赤いバイクがいる画像,no_positive,0,855,145,10,10,0,0,0,0
test,CB11,青い自転車と白い車がいる画像,below_target,8,772,220,10,10,8,10,5,5
test,CB12,白い自転車と青い車がいる画像,no_positive,0,798,202,10,10,0,0,0,0
test,CB13,画面左の歩行者と画面右の自転車がいる画像,below_target,8,855,137,10,10,8,10,5,5
test,CB14,画面右の歩行者と画面左の自転車がいる画像,targets_met,14,850,136,10,10,10,10,5,5
test,CB15,画面左のバスと画面右のバイクがいる画像,no_positive,0,878,122,10,10,0,0,0,0
test,CB16,画面右のバスと画面左のバイクがいる画像,no_positive,0,876,124,10,10,0,0,0,0
test,CB17,画面中央の車と画面右のトラックがいる画像,targets_met,77,792,131,10,10,10,10,5,5
test,CB18,画面右の車と画面中央のトラックがいる画像,targets_met,75,788,137,10,10,10,10,5,5
test,CB19,画面左のバンと画面中央の歩行者がいる画像,targets_met,14,849,137,10,10,10,10,5,5
test,CB20,画面中央のバンと画面左の歩行者がいる画像,targets_met,26,833,141,10,10,10,10,5,5
test,CB21,画面左の車と画面右のバスがいる画像,targets_met,25,859,116,10,10,10,10,5,5
test,CB22,画面右の車と画面左のバスがいる画像,targets_met,16,871,113,10,10,10,10,5,5
test,CB23,画面中央の自転車と画面左のバイクがいる画像,no_positive,0,866,134,10,10,0,0,0,0
test,CB24,画面左の自転車と画面中央のバイクがいる画像,below_target,2,863,135,10,10,2,10,5,5
test,CE01,夜の横断歩道上に歩行者がいる画像,targets_met,14,880,106,10,10,10,10,5,5
test,CE02,昼の横断歩道上に歩行者がいる画像,targets_met,53,878,69,10,10,10,10,5,5
test,CE03,薄明の歩道上に歩行者がいる画像,targets_met,10,983,7,10,10,10,10,5,5
test,CE04,夜に自転車がいる画像,targets_met,21,876,103,10,10,10,10,5,5
test,CE05,夜にバイクがいる画像,targets_met,15,880,105,10,10,10,10,5,5
test,CE06,霧の中に歩行者がいる画像,below_target,1,919,80,10,10,1,10,5,5
test,CE07,霧の中に車がいる画像,below_target,8,909,83,10,10,8,10,5,5
test,CE08,道路の工事区間と自転車が見える画像,below_target,6,963,31,10,10,6,10,5,5
test,CE09,道路の工事区間と歩行者が見える画像,targets_met,29,941,30,10,10,10,10,5,5
test,CE10,路面に雪があり車がいる画像,targets_met,84,906,10,10,10,10,10,2,8
test,CE11,路面に雪があり歩行者がいる画像,targets_met,33,954,13,10,10,10,10,5,5
test,CE12,路面が濡れていて自転車がいる画像,targets_met,12,930,58,10,10,10,10,5,5
test,CE13,路面が濡れていてバイクがいる画像,below_target,4,938,58,10,10,4,10,5,5
test,CE14,雨が降る道路にバスがいる画像,below_target,8,956,36,10,10,8,10,5,5
test,CE15,雨が降る道路の歩道上に歩行者がいる画像,below_target,6,959,35,10,10,6,10,5,5
test,CE16,雪が降る道路にトラックがいる画像,below_target,1,978,21,10,10,1,10,5,5
test,CE17,トンネル内に車がいる画像,targets_met,22,972,6,10,10,10,10,5,5
test,CE18,橋の上にトラックがいる画像,targets_met,48,838,114,10,10,10,10,5,5
