condition_id,category,use,query,train_positive_target,val_positive_target,test_positive_target,train_negative_target,val_negative_target,test_negative_target
OBJ01,basic,train_val_test,車がいる画像,50,10,20,20,5,10
OBJ02,basic,train_val_test,バスがいる画像,50,10,20,20,5,10
OBJ03,basic,train_val_test,トラックがいる画像,50,10,20,20,5,10
OBJ04,basic,train_val_test,バンがいる画像,50,10,20,20,5,10
OBJ05,basic,train_val_test,歩行者がいる画像,50,10,20,20,5,10
OBJ06,basic,train_val_test,自転車がいる画像,50,10,20,20,5,10
OBJ07,basic,train_val_test,バイクがいる画像,50,10,20,20,5,10
COL01,basic,train_val_test,白い車がいる画像,50,10,20,20,5,10
COL02,basic,train_val_test,黒い車がいる画像,50,10,20,20,5,10
COL03,basic,train_val_test,赤い車がいる画像,50,10,20,20,5,10
COL04,basic,train_val_test,青い車がいる画像,50,10,20,20,5,10
COL05,basic,train_val_test,白いバスがいる画像,50,10,20,20,5,10
COL06,basic,train_val_test,黒いバスがいる画像,50,10,20,20,5,10
COL07,basic,train_val_test,赤いバスがいる画像,50,10,20,20,5,10
COL08,basic,train_val_test,青いバスがいる画像,50,10,20,20,5,10
COL09,basic,train_val_test,白いトラックがいる画像,50,10,20,20,5,10
COL10,basic,train_val_test,黒いトラックがいる画像,50,10,20,20,5,10
COL11,basic,train_val_test,赤いトラックがいる画像,50,10,20,20,5,10
COL12,basic,train_val_test,青いトラックがいる画像,50,10,20,20,5,10
COL13,basic,train_val_test,白いバンがいる画像,50,10,20,20,5,10
COL14,basic,train_val_test,黒いバンがいる画像,50,10,20,20,5,10
COL15,basic,train_val_test,赤いバンがいる画像,50,10,20,20,5,10
COL16,basic,train_val_test,青いバンがいる画像,50,10,20,20,5,10
COL17,basic,train_val_test,白い自転車がいる画像,50,10,20,20,5,10
COL18,basic,train_val_test,黒い自転車がいる画像,50,10,20,20,5,10
COL19,basic,train_val_test,赤い自転車がいる画像,50,10,20,20,5,10
COL20,basic,train_val_test,青い自転車がいる画像,50,10,20,20,5,10
COL21,basic,train_val_test,白いバイクがいる画像,50,10,20,20,5,10
COL22,basic,train_val_test,黒いバイクがいる画像,50,10,20,20,5,10
COL23,basic,train_val_test,赤いバイクがいる画像,50,10,20,20,5,10
COL24,basic,train_val_test,青いバイクがいる画像,50,10,20,20,5,10
POS01,basic,train_val_test,画面左に車がいる画像,50,10,20,20,5,10
POS02,basic,train_val_test,画面中央に車がいる画像,50,10,20,20,5,10
POS03,basic,train_val_test,画面右に車がいる画像,50,10,20,20,5,10
POS04,basic,train_val_test,画面左にバスがいる画像,50,10,20,20,5,10
POS05,basic,train_val_test,画面中央にバスがいる画像,50,10,20,20,5,10
POS06,basic,train_val_test,画面右にバスがいる画像,50,10,20,20,5,10
POS07,basic,train_val_test,画面左にトラックがいる画像,50,10,20,20,5,10
POS08,basic,train_val_test,画面中央にトラックがいる画像,50,10,20,20,5,10
POS09,basic,train_val_test,画面右にトラックがいる画像,50,10,20,20,5,10
POS10,basic,train_val_test,画面左にバンがいる画像,50,10,20,20,5,10
POS11,basic,train_val_test,画面中央にバンがいる画像,50,10,20,20,5,10
POS12,basic,train_val_test,画面右にバンがいる画像,50,10,20,20,5,10
POS13,basic,train_val_test,画面左に歩行者がいる画像,50,10,20,20,5,10
POS14,basic,train_val_test,画面中央に歩行者がいる画像,50,10,20,20,5,10
POS15,basic,train_val_test,画面右に歩行者がいる画像,50,10,20,20,5,10
POS16,basic,train_val_test,画面左に自転車がいる画像,50,10,20,20,5,10
POS17,basic,train_val_test,画面中央に自転車がいる画像,50,10,20,20,5,10
POS18,basic,train_val_test,画面右に自転車がいる画像,50,10,20,20,5,10
POS19,basic,train_val_test,画面左にバイクがいる画像,50,10,20,20,5,10
POS20,basic,train_val_test,画面中央にバイクがいる画像,50,10,20,20,5,10
POS21,basic,train_val_test,画面右にバイクがいる画像,50,10,20,20,5,10
LOC01,basic,train_val_test,自車と同じ車線に車がいる画像,50,10,20,20,5,10
LOC02,basic,train_val_test,自車の左隣の車線に車がいる画像,50,10,20,20,5,10
LOC03,basic,train_val_test,自車の右隣の車線に車がいる画像,50,10,20,20,5,10
LOC04,basic,train_val_test,対向車線に車がいる画像,50,10,20,20,5,10
LOC05,basic,train_val_test,自車と同じ車線にバスがいる画像,50,10,20,20,5,10
LOC06,basic,train_val_test,自車の左隣の車線にバスがいる画像,50,10,20,20,5,10
LOC07,basic,train_val_test,自車の右隣の車線にバスがいる画像,50,10,20,20,5,10
LOC08,basic,train_val_test,対向車線にバスがいる画像,50,10,20,20,5,10
LOC09,basic,train_val_test,自車と同じ車線にトラックがいる画像,50,10,20,20,5,10
LOC10,basic,train_val_test,自車の左隣の車線にトラックがいる画像,50,10,20,20,5,10
LOC11,basic,train_val_test,自車の右隣の車線にトラックがいる画像,50,10,20,20,5,10
LOC12,basic,train_val_test,対向車線にトラックがいる画像,50,10,20,20,5,10
LOC13,basic,train_val_test,自車と同じ車線にバンがいる画像,50,10,20,20,5,10
LOC14,basic,train_val_test,自車の左隣の車線にバンがいる画像,50,10,20,20,5,10
LOC15,basic,train_val_test,自車の右隣の車線にバンがいる画像,50,10,20,20,5,10
LOC16,basic,train_val_test,対向車線にバンがいる画像,50,10,20,20,5,10
LOC17,basic,train_val_test,自車と同じ車線に自転車がいる画像,50,10,20,20,5,10
LOC18,basic,train_val_test,自車の左隣の車線に自転車がいる画像,50,10,20,20,5,10
LOC19,basic,train_val_test,自車の右隣の車線に自転車がいる画像,50,10,20,20,5,10
LOC20,basic,train_val_test,対向車線に自転車がいる画像,50,10,20,20,5,10
LOC21,basic,train_val_test,自車と同じ車線にバイクがいる画像,50,10,20,20,5,10
LOC22,basic,train_val_test,自車の左隣の車線にバイクがいる画像,50,10,20,20,5,10
LOC23,basic,train_val_test,自車の右隣の車線にバイクがいる画像,50,10,20,20,5,10
LOC24,basic,train_val_test,対向車線にバイクがいる画像,50,10,20,20,5,10
LOC25,basic,train_val_test,歩道上に歩行者がいる画像,50,10,20,20,5,10
LOC26,basic,train_val_test,横断歩道上に歩行者がいる画像,50,10,20,20,5,10
LOC27,basic,train_val_test,車道上に歩行者がいる画像,50,10,20,20,5,10
ORI01,basic,train_val_test,こちらに正面を向けた車がいる画像,50,10,20,20,5,10
ORI02,basic,train_val_test,後ろ姿が見える車がいる画像,50,10,20,20,5,10
ORI03,basic,train_val_test,こちらに正面を向けたバスがいる画像,50,10,20,20,5,10
ORI04,basic,train_val_test,後ろ姿が見えるバスがいる画像,50,10,20,20,5,10
ORI05,basic,train_val_test,こちらに正面を向けたトラックがいる画像,50,10,20,20,5,10
ORI06,basic,train_val_test,後ろ姿が見えるトラックがいる画像,50,10,20,20,5,10
ORI07,basic,train_val_test,こちらに正面を向けたバンがいる画像,50,10,20,20,5,10
ORI08,basic,train_val_test,後ろ姿が見えるバンがいる画像,50,10,20,20,5,10
ORI09,basic,train_val_test,こちらに正面を向けた自転車がいる画像,50,10,20,20,5,10
ORI10,basic,train_val_test,後ろ姿が見える自転車がいる画像,50,10,20,20,5,10
ORI11,basic,train_val_test,こちらに正面を向けたバイクがいる画像,50,10,20,20,5,10
ORI12,basic,train_val_test,後ろ姿が見えるバイクがいる画像,50,10,20,20,5,10
ROAD01,basic,train_val_test,市街地の道路の画像,50,10,20,20,5,10
ROAD02,basic,train_val_test,住宅街の道路の画像,50,10,20,20,5,10
ROAD03,basic,train_val_test,高速道路の画像,50,10,20,20,5,10
ROAD04,basic,train_val_test,田舎道の画像,50,10,20,20,5,10
ROAD05,basic,train_val_test,トンネル内の画像,50,10,20,20,5,10
ROAD06,basic,train_val_test,橋の上の道路の画像,50,10,20,20,5,10
ROAD07,basic,train_val_test,交差点が見える画像,50,10,20,20,5,10
ROAD08,basic,train_val_test,横断歩道が見える画像,50,10,20,20,5,10
ROAD09,basic,train_val_test,道路の工事区間が見える画像,50,10,20,20,5,10
ROAD10,basic,train_val_test,赤信号が見える画像,50,10,20,20,5,10
ROAD11,basic,train_val_test,青信号が見える画像,50,10,20,20,5,10
ROAD12,basic,train_val_test,黄信号が見える画像,50,10,20,20,5,10
ROAD13,basic,train_val_test,路面が濡れている画像,50,10,20,20,5,10
ROAD14,basic,train_val_test,路面に雪がある画像,50,10,20,20,5,10
ROAD15,basic,train_val_test,道路がカーブしている画像,50,10,20,20,5,10
ROAD16,basic,train_val_test,坂道の画像,50,10,20,20,5,10
ENV01,basic,train_val_test,昼の道路の画像,50,10,20,20,5,10
ENV02,basic,train_val_test,夜の道路の画像,50,10,20,20,5,10
ENV03,basic,train_val_test,薄明の道路の画像,50,10,20,20,5,10
ENV04,basic,train_val_test,晴れた道路の画像,50,10,20,20,5,10
ENV05,basic,train_val_test,曇りの道路の画像,50,10,20,20,5,10
ENV06,basic,train_val_test,雨が降っている道路の画像,50,10,20,20,5,10
ENV07,basic,train_val_test,雪が降っている道路の画像,50,10,20,20,5,10
ENV08,basic,train_val_test,霧のある道路の画像,50,10,20,20,5,10
CO01,basic,train_val_test,車とバスがいる画像,50,10,20,20,5,10
CO02,basic,train_val_test,車とトラックがいる画像,50,10,20,20,5,10
CO03,basic,train_val_test,車とバンがいる画像,50,10,20,20,5,10
CO04,basic,train_val_test,車と歩行者がいる画像,50,10,20,20,5,10
CO05,basic,train_val_test,車と自転車がいる画像,50,10,20,20,5,10
CO06,basic,train_val_test,車とバイクがいる画像,50,10,20,20,5,10
CO07,basic,train_val_test,バスとトラックがいる画像,50,10,20,20,5,10
CO08,basic,train_val_test,バスとバンがいる画像,50,10,20,20,5,10
CO09,basic,train_val_test,バスと歩行者がいる画像,50,10,20,20,5,10
CO10,basic,train_val_test,バスと自転車がいる画像,50,10,20,20,5,10
CO11,basic,train_val_test,バスとバイクがいる画像,50,10,20,20,5,10
CO12,basic,train_val_test,トラックとバンがいる画像,50,10,20,20,5,10
CO13,basic,train_val_test,トラックと歩行者がいる画像,50,10,20,20,5,10
CO14,basic,train_val_test,トラックと自転車がいる画像,50,10,20,20,5,10
CO15,basic,train_val_test,トラックとバイクがいる画像,50,10,20,20,5,10
CO16,basic,train_val_test,バンと歩行者がいる画像,50,10,20,20,5,10
CO17,basic,train_val_test,バンと自転車がいる画像,50,10,20,20,5,10
CO18,basic,train_val_test,バンとバイクがいる画像,50,10,20,20,5,10
CO19,basic,train_val_test,歩行者と自転車がいる画像,50,10,20,20,5,10
CO20,basic,train_val_test,歩行者とバイクがいる画像,50,10,20,20,5,10
CO21,basic,train_val_test,自転車とバイクがいる画像,50,10,20,20,5,10
CE01,composite,train_val_test,夜の横断歩道上に歩行者がいる画像,20,5,10,20,5,10
CE02,composite,train_val_test,昼の横断歩道上に歩行者がいる画像,20,5,10,20,5,10
CE03,composite,train_val_test,薄明の歩道上に歩行者がいる画像,20,5,10,20,5,10
CE04,composite,train_val_test,夜に自転車がいる画像,20,5,10,20,5,10
CE05,composite,train_val_test,夜にバイクがいる画像,20,5,10,20,5,10
CE06,composite,train_val_test,霧の中に歩行者がいる画像,20,5,10,20,5,10
CE07,composite,train_val_test,霧の中に車がいる画像,20,5,10,20,5,10
CE08,composite,train_val_test,道路の工事区間と自転車が見える画像,20,5,10,20,5,10
CE09,composite,train_val_test,道路の工事区間と歩行者が見える画像,20,5,10,20,5,10
CE10,composite,train_val_test,路面に雪があり車がいる画像,20,5,10,20,5,10
CE11,composite,train_val_test,路面に雪があり歩行者がいる画像,20,5,10,20,5,10
CE12,composite,train_val_test,路面が濡れていて自転車がいる画像,20,5,10,20,5,10
CE13,composite,train_val_test,路面が濡れていてバイクがいる画像,20,5,10,20,5,10
CE14,composite,train_val_test,雨が降る道路にバスがいる画像,20,5,10,20,5,10
CE15,composite,train_val_test,雨が降る道路の歩道上に歩行者がいる画像,20,5,10,20,5,10
CE16,composite,train_val_test,雪が降る道路にトラックがいる画像,20,5,10,20,5,10
CE17,composite,train_val_test,トンネル内に車がいる画像,20,5,10,20,5,10
CE18,composite,train_val_test,橋の上にトラックがいる画像,20,5,10,20,5,10
CE19,composite,train_val_test,交差点とバイクが見える画像,20,5,10,20,5,10
CE20,composite,train_val_test,赤信号と車が見える画像,20,5,10,20,5,10
CE21,composite,train_val_test,青信号と自転車が見える画像,20,5,10,20,5,10
CE22,composite,train_val_test,黄信号とバンが見える画像,20,5,10,20,5,10
CE23,composite,train_val_test,住宅街に歩行者がいる画像,20,5,10,20,5,10
CE24,composite,train_val_test,高速道路にバスがいる画像,20,5,10,20,5,10
CA01,composite,train_val_test,画面左に赤い車がいる画像,20,5,10,20,5,10
CA02,composite,train_val_test,画面右に白い車がいる画像,20,5,10,20,5,10
CA03,composite,train_val_test,画面左に白いバスがいる画像,20,5,10,20,5,10
CA04,composite,train_val_test,画面右に赤いバスがいる画像,20,5,10,20,5,10
CA05,composite,train_val_test,画面中央に青いトラックがいる画像,20,5,10,20,5,10
CA06,composite,train_val_test,画面右に白いトラックがいる画像,20,5,10,20,5,10
CA07,composite,train_val_test,画面左に黒いバンがいる画像,20,5,10,20,5,10
CA08,composite,train_val_test,画面中央に白いバンがいる画像,20,5,10,20,5,10
CA09,composite,train_val_test,画面右に赤い自転車がいる画像,20,5,10,20,5,10
CA10,composite,train_val_test,画面左に青い自転車がいる画像,20,5,10,20,5,10
CA11,composite,train_val_test,画面右に黒いバイクがいる画像,20,5,10,20,5,10
CA12,composite,train_val_test,画面左に白いバイクがいる画像,20,5,10,20,5,10
CA13,composite,train_val_test,自車と同じ車線に、こちらに正面を向けた自転車がいる画像,20,5,10,20,5,10
CA14,composite,train_val_test,自車と同じ車線に後ろ姿が見える車がいる画像,20,5,10,20,5,10
CA15,composite,train_val_test,画面右の歩道上に歩行者がいる画像,20,5,10,20,5,10
